Vd,Id(uA)
0,0
0.098,0
0.197,0.03
0.297,0.04
0.397,0.05
0.497,0.06
0.597,0.07
0.697,0.08
0.797,0.09
0.897,0.1
0.997,0.11
1.097,0.12
1.197,0.13
1.297,0.14
1.397,0.15
1.497,0.16
1.598,0.17
1.697,0.18
1.796,0.19
1.897,0.2
1.996,0.21
2.097,0.22
2.196,0.23
2.296,0.28
2.393,1.07
2.457,6.85
2.492,17.76
2.512,31.63
2.525,46.71
2.535,62.89
2.543,79.85
2.55,97.78
2.557,116.85
2.563,137.07
2.569,158.75
2.574,181.5
2.579,206.5
2.584,232.8
2.589,260.8
2.594,290.4
2.599,322
2.604,352.2
2.608,388.9
2.613,423.9
2.617,461.2
